blueADCChamp,blueJungleChamp,blueMiddleChamp,blueSupportChamp,blueTopChamp,redADCChamp,redJungleChamp,redMiddleChamp,redSupportChamp,redTopChamp,blueBan1,redBan1,blueBan2,redBan2,blueBan3,redBan3,blueBan4,redBan4,blueBan5,redBan5,rResult
Aphelios,Xin Zhao,Akali,Lulu,Aurora,Miss Fortune,Nocturne,Syndra,Neeko,Rumble,Karma,Jarvan IV,Vi,Ambessa,Ryze,Cassiopeia,Wukong,K'Sante,Pantheon,Sion,1
Sivir,Qiyana,Ryze,Shen,Jax,Kai'Sa,Pantheon,Taliyah,Rell,K'Sante,Ambessa,Yunara,Jarvan IV,Sion,Cassiopeia,Karma,Rakan,Gnar,Poppy,Braum,0
Kai'Sa,Dr. Mundo,Syndra,Neeko,K'Sante,Yunara,Malphite,Azir,Lulu,Renekton,Rumble,Ambessa,Varus,Akali,Orianna,Sylas,Gnar,LeBlanc,Jax,Ahri,0
Aphelios,Xin Zhao,LeBlanc,Thresh,Sion,Sivir,Vi,Orianna,Nautilus,Zaahen,Rumble,Akali,Jayce,Ambessa,Varus,Jarvan IV,Jax,Pantheon,Alistar,Wukong,1
Jhin,Wukong,Ahri,Poppy,Gwen,Varus,Qiyana,Taliyah,Alistar,Yorick,Jayce,Jax,Akali,Jarvan IV,Rumble,Ambessa,Rell,Rakan,Pantheon,Bard,1
Varus,Pantheon,Orianna,Braum,Renekton,Jhin,Ambessa,Akali,Rell,Ornn,Jayce,Malphite,Neeko,Poppy,Rumble,Yunara,Sion,Alistar,K'Sante,Renata Glasc,0
Sivir,Qiyana,Ziggs,Alistar,Sion,Miss Fortune,Trundle,Azir,Poppy,Mordekaiser,Jarvan IV,Jayce,Malphite,Neeko,Zed,Rumble,Yunara,Aphelios,Rakan,Bard,0
Aphelios,Vi,Taliyah,Nautilus,K'Sante,Yunara,Qiyana,Azir,Alistar,Rumble,Jayce,Neeko,Orianna,Malphite,Jarvan IV,Varus,Bard,Thresh,Xin Zhao,Ambessa,0
Sivir,Xin Zhao,Anivia,Bard,Gwen,Varus,Poppy,Ryze,Karma,Sion,Jayce,Malphite,Orianna,Jarvan IV,Neeko,Jax,Wukong,Ambessa,Pantheon,Zaahen,1
Kalista,Wukong,Ahri,Renata Glasc,Rek'Sai,Miss Fortune,Jarvan IV,Viktor,Rakan,Zaahen,Neeko,Kai'Sa,Orianna,Sylas,Malphite,Jayce,Aurora,Corki,Cassiopeia,Lulu,1
Varus,Trundle,Sylas,Braum,Yorick,Miss Fortune,Malphite,Azir,Nautilus,Ambessa,Rumble,Akali,Jayce,Dr. Mundo,Orianna,Jarvan IV,Ryze,Alistar,LeBlanc,Renekton,0
Corki,Wukong,Ryze,Nami,Sion,Yunara,Vi,Taliyah,Alistar,Renekton,Rumble,Akali,Orianna,Aphelios,Jayce,Jarvan IV,Gwen,Sivir,Rek'Sai,Renata Glasc,0
Jhin,Wukong,Syndra,Leona,K'Sante,Varus,Poppy,Azir,Nautilus,Renekton,Jayce,Malphite,Rumble,Neeko,Orianna,LeBlanc,Jarvan IV,Gnar,Ambessa,Rakan,1
Corki,Pantheon,Yone,Rell,Rumble,Kai'Sa,Jarvan IV,Ryze,Alistar,Ambessa,Jayce,Malphite,Orianna,Akali,Neeko,Karma,Aphelios,Lucian,Miss Fortune,Yunara,1
Yunara,Qiyana,Aurora,Bard,Zaahen,Aphelios,Vi,Ahri,Rakan,Kennen,Jayce,Malphite,Orianna,Neeko,Akali,Galio,Thresh,Xin Zhao,Taliyah,Nocturne,1
Aphelios,Jarvan IV,Aurelion Sol,Lulu,Ornn,Yunara,Xin Zhao,Azir,Bard,Renekton,Orianna,Rumble,Varus,Neeko,Jayce,Malphite,Gnar,Thresh,Zaahen,Nautilus,1
Sivir,Dr. Mundo,Ryze,Alistar,Zaahen,Kai'Sa,Malphite,Cassiopeia,Rakan,Ambessa,Jayce,Varus,Neeko,Orianna,Rumble,Sylas,Nautilus,Poppy,Renata Glasc,Ezreal,1
Ashe,Wukong,Taliyah,Renata Glasc,K'Sante,Miss Fortune,Vi,Ahri,Leona,Poppy,Rumble,Orianna,Neeko,Varus,Qiyana,Jayce,Gnar,Lucian,Karma,Jhin,1
Corki,Jarvan IV,Azir,Bard,Sion,Yunara,Nocturne,Orianna,Alistar,Ambessa,Jayce,Malphite,Neeko,Poppy,Varus,Rumble,Vi,Aphelios,Xin Zhao,Miss Fortune,0
Miss Fortune,Qiyana,Ryze,Rell,Rek'Sai,Lucian,Vi,Syndra,Braum,Renekton,Jayce,Malphite,Neeko,Poppy,Varus,Rumble,Rakan,Leona,Kai'Sa,Sivir,0
Yunara,Xin Zhao,Orianna,Bard,K'Sante,Corki,Vi,Yone,Neeko,Rumble,Malphite,Jayce,Jarvan IV,Poppy,Varus,Azir,Kai'Sa,Nocturne,Syndra,Pantheon,0
Miss Fortune,Nocturne,Akali,Alistar,Sion,Jhin,Qiyana,Syndra,Nautilus,Zaahen,Malphite,Jayce,Jarvan IV,Varus,Ambessa,Renekton,Kai'Sa,Pantheon,Gwen,Azir,0
Corki,Xin Zhao,Ryze,Nami,Rumble,Caitlyn,Jarvan IV,Anivia,Karma,Ambessa,Varus,Jayce,Neeko,Orianna,LeBlanc,Azir,Nautilus,Poppy,Miss Fortune,Lulu,0
Ziggs,Pantheon,Aurora,Leona,Renekton,Aphelios,Vi,Ahri,Rell,Jax,Varus,Jayce,Neeko,Orianna,LeBlanc,Azir,Thresh,Akali,Nautilus,Taliyah,1
Varus,Wukong,Akali,Lulu,Sion,Miss Fortune,Dr. Mundo,Orianna,Renata Glasc,Zaahen,Neeko,Gnar,Qiyana,Azir,Jayce,Malphite,Poppy,Gwen,Alistar,Nautilus,0
Miss Fortune,Pantheon,Ahri,Poppy,Ambessa,Sivir,Vi,Taliyah,Rell,Rumble,Jayce,Malphite,Orianna,Jarvan IV,Varus,Neeko,Nautilus,Bard,Alistar,Yunara,0
Jhin,Trundle,Azir,Nautilus,Renekton,Corki,Wukong,LeBlanc,Alistar,K'Sante,Malphite,Jayce,Neeko,Orianna,Jarvan IV,Varus,Yunara,Aphelios,Rakan,Caitlyn,1
Yunara,Nocturne,Anivia,Lulu,Sion,Kai'Sa,Dr. Mundo,Ryze,Neeko,Yorick,Jayce,Malphite,Orianna,Xin Zhao,Jarvan IV,Qiyana,Gwen,Aurora,Aatrox,Cassiopeia,0
Aphelios,Wukong,Taliyah,Nautilus,Rumble,Yunara,Jarvan IV,Zoe,Braum,K'Sante,Malphite,Jayce,Neeko,Varus,Akali,Orianna,Ahri,Thresh,Ryze,Vi,1
Miss Fortune,Trundle,Azir,Leona,Rek'Sai,Corki,Nocturne,Ryze,Rakan,Sion,Jayce,Poppy,Varus,Neeko,Orianna,Akali,Malphite,Rell,Qiyana,Alistar,1
Yunara,Jarvan IV,Azir,Alistar,Ornn,Varus,Wukong,Taliyah,Rell,Renekton,Jayce,Malphite,Rumble,Orianna,Neeko,Vi,Braum,Sivir,Nautilus,Miss Fortune,0
Kai'Sa,Xin Zhao,Malzahar,Neeko,Zaahen,Jhin,Qiyana,Ryze,Nautilus,Ambessa,Orianna,Vi,Jayce,Aphelios,Pantheon,Malphite,Miss Fortune,Syndra,Corki,Anivia,0
Varus,Dr. Mundo,Ryze,Braum,Yorick,Miss Fortune,Jarvan IV,Taliyah,Bard,Rumble,Neeko,Orianna,Malphite,Jayce,Wukong,Azir,Sivir,Xin Zhao,Yunara,Poppy,0
Aphelios,Trundle,Mel,Nautilus,Renekton,Jinx,Malphite,Aurora,Thresh,Gnar,Neeko,Orianna,Jayce,Azir,Ahri,Sylas,Ambessa,Akali,Gwen,Sion,1
Yunara,Xin Zhao,Syndra,Rakan,Rek'Sai,Sivir,Qiyana,Azir,Lulu,Sion,Neeko,Jayce,Vi,Orianna,Wukong,LeBlanc,Poppy,Akali,Ambessa,Ahri,1
Varus,Wukong,Ryze,Rell,K'Sante,Yunara,Jarvan IV,Taliyah,Lulu,Rumble,Malphite,Jayce,Renekton,Orianna,Neeko,Caitlyn,Miss Fortune,Xin Zhao,Sivir,Karma,1
Draven,Nocturne,Syndra,Nautilus,Ambessa,Kai'Sa,Qiyana,Azir,Neeko,Sion,Renekton,Malphite,Jayce,Vi,Orianna,Karma,Jhin,Trundle,Miss Fortune,Zyra,0
Miss Fortune,Vi,Ahri,Bard,Udyr,Ashe,Xin Zhao,Sylas,Seraphine,Zaahen,Malphite,Jayce,LeBlanc,Orianna,Kennen,Jax,Aphelios,Karma,Xayah,Caitlyn,1
Miss Fortune,Jarvan IV,Orianna,Alistar,Ambessa,Yunara,Xin Zhao,Azir,Rell,Zaahen,Jayce,Malphite,Renekton,Rumble,Varus,Neeko,Lulu,Aphelios,Braum,Kai'Sa,0
Corki,Vi,Taliyah,Nami,Gwen,Kai'Sa,Wukong,Akali,Neeko,Sion,Jayce,Malphite,Varus,Rumble,Aphelios,Ziggs,Ahri,Nautilus,Renekton,Leona,1
Sivir,Pantheon,Syndra,Leona,Gnar,Varus,Nocturne,Ryze,Nautilus,K'Sante,Jayce,Sylas,Rumble,Aphelios,Malphite,Dr. Mundo,Qiyana,Anivia,Renekton,Malzahar,0
Yunara,Dr. Mundo,Syndra,Blitzcrank,Renekton,Aphelios,Malphite,Ryze,Thresh,Gnar,Jayce,Neeko,Orianna,Sylas,Varus,Ambessa,K'Sante,Lulu,Sion,Cassiopeia,1
Sivir,Xin Zhao,Ahri,Neeko,Ambessa,Varus,Pantheon,Taliyah,Bard,Sion,Jayce,Jarvan IV,Orianna,Aurora,Akali,Rumble,Alistar,Vi,Karma,Nocturne,0
Yunara,Pantheon,Azir,Braum,Sion,Corki,Trundle,Orianna,Alistar,Ambessa,Jayce,Malphite,Varus,Neeko,Rumble,Jarvan IV,Kai'Sa,Bard,Aphelios,Poppy,0
Varus,Jarvan IV,Ryze,Leona,Galio,Miss Fortune,Wukong,Akali,Rell,Rumble,Jayce,Malphite,Kai'Sa,Neeko,Qiyana,Poppy,Yone,Bard,Vi,K'Sante,1
Aphelios,Viego,Syndra,Nautilus,Renekton,Sivir,Xin Zhao,Cassiopeia,Rakan,Aurora,Jayce,Vi,Neeko,Kai'Sa,Malphite,Sylas,Bard,Thresh,Jinx,Qiyana,1
Miss Fortune,Vi,Ryze,Leona,K'Sante,Jhin,Jarvan IV,Azir,Nautilus,Rumble,Jayce,Malphite,Orianna,Varus,Neeko,Poppy,Aphelios,Yunara,Kai'Sa,Rakan,1
Sivir,Poppy,Ahri,Alistar,Jax,Varus,Wukong,Taliyah,Rakan,Zaahen,Jayce,Sylas,Malphite,Neeko,Orianna,Bard,Renekton,Syndra,Sion,Ambessa,0
Ezreal,Dr. Mundo,Azir,Karma,Rumble,Yunara,Jarvan IV,Orianna,Lulu,K'Sante,Jayce,Varus,Neeko,Akali,Malphite,Sylas,Sivir,Rakan,Kai'Sa,Nautilus,0
Corki,Wukong,Aurora,Braum,Sion,Miss Fortune,Vi,Ahri,Rell,Renekton,Jayce,Varus,Neeko,Ryze,Malphite,Sylas,Kai'Sa,Rakan,Alistar,Sivir,1
Sivir,Ambessa,Ryze,Alistar,Yorick,Kalista,Qiyana,Cassiopeia,Renata Glasc,Gnar,Neeko,Varus,Sylas,Malphite,Aphelios,Jayce,Kai'Sa,Jax,Nautilus,Pantheon,0
Varus,Qiyana,Syndra,Nautilus,Rumble,Yunara,Pantheon,Orianna,Alistar,Ambessa,Jayce,Malphite,Akali,Neeko,Vi,Jarvan IV,Sivir,Poppy,Miss Fortune,Wukong,1
Miss Fortune,Xin Zhao,Azir,Poppy,Sion,Corki,Trundle,Taliyah,Rell,Renekton,Neeko,Ryze,Sylas,Jayce,Dr. Mundo,Malphite,Nocturne,Gnar,Vi,Aatrox,0
Varus,Xin Zhao,Orianna,Alistar,Renekton,Ezreal,Jarvan IV,Azir,Leona,Sion,Jayce,Malphite,Akali,Ambessa,Rumble,K'Sante,Sivir,Gwen,Jhin,Rek'Sai,1
Yunara,Wukong,Syndra,Braum,Rumble,Kai'Sa,Viego,Ryze,Rell,K'Sante,Jayce,Malphite,Lulu,Ambessa,Dr. Mundo,Miss Fortune,Corki,Ahri,Aphelios,Aurora,1
Varus,Xin Zhao,Ziggs,Alistar,Rumble,Corki,Pantheon,Azir,Rakan,K'Sante,Jayce,Neeko,Malphite,Sylas,Orianna,Jarvan IV,Bard,Vi,Yunara,Yone,0
Yunara,Dr. Mundo,Galio,Neeko,Ambessa,Ashe,Malphite,Aurora,Seraphine,Gnar,Orianna,Jarvan IV,Jayce,Sylas,Aphelios,Ryze,Sion,Akali,Renekton,Zaahen,1
Aphelios,Vi,Ahri,Thresh,Rek'Sai,Sivir,Jarvan IV,Viktor,Bard,Sion,Jayce,Poppy,Orianna,Akali,Ryze,Wukong,Lulu,Zaahen,Nautilus,Gwen,1
Jhin,Jarvan IV,Azir,Bard,Rumble,Ashe,Vi,Ekko,Seraphine,K'Sante,Ryze,Jayce,Ambessa,Orianna,Varus,Neeko,Akali,Karma,Xin Zhao,Nautilus,0
Corki,Xin Zhao,Akali,Rakan,Gwen,Kai'Sa,Wukong,Orianna,Rell,Sion,Jayce,Poppy,Varus,Neeko,Yunara,Aphelios,Alistar,Sivir,Miss Fortune,Braum,0
Corki,Pantheon,Azir,Bard,Ambessa,Sivir,Vi,Orianna,Alistar,Rumble,Jayce,Poppy,Neeko,Malphite,Jarvan IV,Varus,Aphelios,Yunara,Miss Fortune,Kai'Sa,1
Aphelios,Jarvan IV,Viktor,Thresh,Sion,Yunara,Xin Zhao,Syndra,Lulu,Aatrox,Malphite,Jayce,Poppy,Neeko,Trundle,Varus,Aurora,Ryze,Akali,Jax,1
Miss Fortune,Wukong,Sylas,Rell,Gnar,Ashe,Qiyana,Ryze,Nautilus,Renekton,Jayce,Poppy,Neeko,Malphite,Varus,Aurora,Lucian,K'Sante,Ezreal,Cassiopeia,1
Ashe,Wukong,Syndra,Seraphine,Rumble,Corki,Xin Zhao,Azir,Neeko,Sion,Jayce,Jarvan IV,Orianna,Yunara,Varus,LeBlanc,Malphite,Yone,Pantheon,Taliyah,1
Miss Fortune,Qiyana,Ryze,Leona,Aurora,Ezreal,Jayce,Anivia,Alistar,Renekton,Varus,Malphite,Orianna,Bard,Yunara,Jarvan IV,Sivir,Rek'Sai,Kai'Sa,Rakan,1
Sivir,Ambessa,Swain,Nautilus,K'Sante,Varus,Pantheon,Galio,Rakan,Zaahen,Orianna,Malphite,Jarvan IV,Poppy,Bard,Vi,Rek'Sai,Ahri,Gwen,Nocturne,1
Sivir,Trundle,Akali,Rell,Rumble,Varus,Xin Zhao,Azir,Braum,K'Sante,Jayce,Neeko,Orianna,Jarvan IV,Ambessa,Vi,Alistar,Karma,Poppy,Nautilus,0
Corki,Jarvan IV,Taliyah,Alistar,Jax,Draven,Wukong,Ahri,Nautilus,Ambessa,Poppy,Jayce,Neeko,Orianna,Anivia,Ryze,Sylas,Renekton,Udyr,Gwen,1
Yunara,Viego,Ryze,Neeko,Sion,Ashe,Nocturne,Syndra,Seraphine,Gwen,Anivia,Jayce,Karma,Orianna,Poppy,Vi,Aurora,Malphite,Udyr,Pantheon,1
Corki,Xin Zhao,Azir,Poppy,Sion,Varus,Wukong,Taliyah,Rell,Zaahen,Jayce,Jarvan IV,Rumble,Neeko,Akali,Orianna,Gwen,Yunara,Ambessa,Miss Fortune,0
Ezreal,Trundle,Ryze,Karma,Gnar,Yunara,Pantheon,Anivia,Lulu,Yorick,Ambessa,Jayce,Rumble,Orianna,Qiyana,Jarvan IV,Vi,Malphite,Nocturne,Renekton,0
Jhin,Jarvan IV,Azir,Rell,Sion,Yunara,Vi,Ahri,Rakan,Varus,Orianna,Xin Zhao,Jayce,Malphite,Rumble,Neeko,Gwen,Bard,Ambessa,Lulu,1
Kai'Sa,Wukong,Orianna,Neeko,Ornn,Tristana,Pantheon,Akali,Leona,Rumble,Malphite,Jayce,Renekton,Xin Zhao,Poppy,Aphelios,Miss Fortune,Nocturne,Corki,Ambessa,0
Jinx,Nocturne,Malzahar,Alistar,K'Sante,Corki,Viego,Ryze,Nami,Renekton,Jayce,Aphelios,Malphite,Xin Zhao,Miss Fortune,Karma,Seraphine,Sivir,Renata Glasc,Gnar,0
Miss Fortune,Xin Zhao,Azir,Rakan,Yasuo,Jhin,Sejuani,Yone,Bard,Varus,Jayce,Orianna,Neeko,Ambessa,Jarvan IV,Malphite,Rumble,Jax,Alistar,Nautilus,1
Aphelios,Qiyana,Aurora,Thresh,Renekton,Ashe,Jarvan IV,Ryze,Seraphine,Gnar,Orianna,Neeko,Jayce,Yunara,Rumble,Vi,Nautilus,Pantheon,Ziggs,Wukong,0
Miss Fortune,Jarvan IV,Azir,Leona,Ambessa,Corki,Jayce,Ziggs,Nautilus,Sion,Varus,Sylas,Malphite,Rumble,Neeko,Orianna,Poppy,Braum,Yunara,Rakan,0
Sivir,Pantheon,Syndra,Lulu,Renekton,Yunara,Nocturne,Orianna,Bard,Ornn,Malphite,Sylas,Varus,Ryze,Neeko,Rumble,Gnar,Kai'Sa,K'Sante,Ashe,1
Lucian,Vi,Anivia,Nami,K'Sante,Caitlyn,Poppy,Cassiopeia,Elise,Rumble,Varus,Sylas,Malphite,Dr. Mundo,Neeko,Karma,Renata Glasc,Aphelios,Jhin,Ashe,1
Yunara,Trundle,Aurora,Nautilus,K'Sante,Corki,Xin Zhao,Ryze,Bard,Rumble,Jayce,Akali,Orianna,Neeko,Varus,Jarvan IV,Aphelios,Lulu,Ashe,Braum,1
Lucian,Jarvan IV,Taliyah,Nami,Gnar,Ashe,Vi,Sylas,Seraphine,Ambessa,Neeko,Jayce,Poppy,Varus,Akali,Orianna,Ahri,Jax,Zaahen,Renekton,1
Lucian,Jarvan IV,Azir,Nami,Sion,Kalista,Xin Zhao,Orianna,Renata Glasc,Rumble,Jayce,Malphite,Neeko,Yunara,Varus,Poppy,Corki,Miss Fortune,Ezreal,Alistar,1
Jhin,Qiyana,Ryze,Alistar,Renekton,Miss Fortune,Vi,Taliyah,Poppy,Gnar,Yunara,Jayce,Malphite,Neeko,Ambessa,Varus,Akali,Ashe,Sylas,Ezreal,1
Varus,Nocturne,Viktor,Rakan,K'Sante,Sivir,Wukong,Akali,Pantheon,Aatrox,Malphite,Jayce,Yunara,Neeko,Bard,Ambessa,Rell,Galio,Lulu,Aurora,1
Varus,Pantheon,Azir,Bard,Rek'Sai,Miss Fortune,Nocturne,Orianna,Leona,Sion,Neeko,Jarvan IV,Rumble,Sylas,Malphite,Jayce,Sivir,Xin Zhao,Yunara,Alistar,0
Corki,Malphite,Anivia,Rakan,Gnar,Ziggs,Jayce,Ryze,Alistar,Renekton,Neeko,Sylas,Rumble,Jarvan IV,Aphelios,Yunara,Sivir,Cassiopeia,Kai'Sa,Nami,1
Kai'Sa,Xin Zhao,Swain,Lulu,Jax,Sivir,Naafiri,Galio,Neeko,Ambessa,Jarvan IV,Viktor,Yunara,Aphelios,Rumble,Vi,Poppy,Zeri,Cassiopeia,Aurora,1
Kai'Sa,Pantheon,Galio,Neeko,Ambessa,Sivir,Xin Zhao,Ryze,Lulu,Rumble,Jayce,Malphite,Orianna,Varus,Jarvan IV,Yunara,Ashe,Syndra,Karma,Anivia,1
Yunara,Vi,Azir,Bard,Zaahen,Aphelios,Poppy,Viktor,Thresh,Sion,Jayce,Malphite,Orianna,Gwen,Varus,Jarvan IV,Syndra,Akali,Wukong,Nocturne,0
Kalista,Jarvan IV,Azir,Renata Glasc,Gnar,Corki,Xin Zhao,Ryze,Nami,Jax,Neeko,Jayce,Varus,Orianna,Ambessa,Rumble,Lulu,Karma,Miss Fortune,Nautilus,0
Varus,Pantheon,Galio,Rakan,K'Sante,Sivir,Nocturne,Yone,Alistar,Rumble,Neeko,Jayce,Ambessa,Orianna,Vi,Wukong,Aurora,Lulu,Ahri,Bard,1
Yunara,Vi,Hwei,Braum,Rek'Sai,Draven,Dr. Mundo,Viktor,Nautilus,Sion,Jayce,Renekton,Ambessa,Gwen,Orianna,Ziggs,Poppy,Akali,Wukong,Sylas,0
Ashe,Xin Zhao,Azir,Braum,Sion,Corki,Poppy,Orianna,Alistar,Rumble,Jayce,Malphite,Neeko,Jarvan IV,Varus,Yunara,Trundle,Miss Fortune,Jhin,Rakan,1
Yunara,Pantheon,Galio,Lulu,Renekton,Aphelios,Vi,Ryze,Thresh,Aatrox,Malphite,Jayce,Akali,Neeko,Jarvan IV,Varus,Gnar,Cassiopeia,Ambessa,Anivia,0
Draven,Wukong,Ryze,Renata Glasc,Gwen,Yunara,Xin Zhao,Azir,Braum,Ambessa,Jayce,Neeko,Orianna,Varus,Rumble,Jax,Ziggs,Karma,Nami,Nautilus,1
Corki,Vi,Taliyah,Nami,Rek'Sai,Ashe,Pantheon,Aurora,Seraphine,Sion,Jayce,Nocturne,Orianna,Varus,Rumble,Karma,Sylas,Akali,LeBlanc,Ahri,0
Caitlyn,Poppy,Viktor,Karma,K'Sante,Jhin,Jarvan IV,Syndra,Pyke,Zaahen,Jayce,Nocturne,Orianna,Varus,Rumble,Jax,Gnar,Akali,LeBlanc,Udyr,1
Varus,Vi,Azir,Leona,Ambessa,Ezreal,Xin Zhao,Ryze,Bard,Rumble,Jayce,Malphite,Neeko,Yunara,Orianna,Jarvan IV,Sivir,Rakan,Miss Fortune,Nautilus,1
Yunara,Pantheon,Galio,Alistar,Zaahen,Kai'Sa,Aatrox,Syndra,Neeko,Sion,Orianna,Malphite,Jarvan IV,Poppy,Jayce,Lulu,Nocturne,Gwen,Wukong,Rek'Sai,0
Aphelios,Malphite,Akali,Alistar,K'Sante,Yunara,Jarvan IV,Orianna,Lulu,Renekton,Jayce,Varus,Rumble,Neeko,Ziggs,Ambessa,Ezreal,Thresh,Leona,Gnar,1
Varus,Xin Zhao,Azir,Renata Glasc,Rek'Sai,Miss Fortune,Wukong,Viktor,Leona,Sion,Jayce,Neeko,Rumble,Ambessa,Qiyana,Sivir,Taliyah,Zaahen,LeBlanc,Syndra,0
Varus,Pantheon,Azir,Bard,Sion,Yunara,Xin Zhao,LeBlanc,Alistar,Gwen,Malphite,Jayce,Neeko,Orianna,Jarvan IV,Rumble,Lulu,Poppy,Nautilus,Braum,1
Sivir,Vi,Ryze,Nautilus,Rumble,Miss Fortune,Nocturne,Anivia,Rakan,Ambessa,Malphite,Jayce,Neeko,Orianna,Poppy,Jarvan IV,Akali,Lulu,Galio,Viktor,0
Corki,Wukong,Twisted Fate,Neeko,Renekton,Ezreal,Jarvan IV,Zoe,Karma,Ornn,Jayce,Malphite,Orianna,Jax,Kai'Sa,Poppy,K'Sante,Aurora,Galio,Akali,0
Sivir,Dr. Mundo,Azir,Lulu,Sion,Miss Fortune,Nocturne,Orianna,Neeko,Ambessa,Jayce,Malphite,Varus,Rumble,Wukong,Yunara,Gwen,Ezreal,Kai'Sa,Corki,1
Varus,Jarvan IV,Taliyah,Nautilus,Ornn,Yunara,Wukong,Aurora,Alistar,Rumble,Jayce,Malphite,Karma,Vi,Ryze,Aphelios,Braum,Poppy,Rakan,Bard,0
Yunara,Poppy,Orianna,Alistar,Ambessa,Kai'Sa,Jarvan IV,Ryze,Nautilus,Rumble,Jayce,Varus,Malphite,Sylas,Neeko,Bard,Corki,Sion,Miss Fortune,Pantheon,1
Sivir,Xin Zhao,Galio,Lulu,Aurora,Corki,Pantheon,Viktor,Neeko,Sion,Jayce,Malphite,Azir,LeBlanc,Varus,Vi,Nocturne,Gwen,Wukong,Zaahen,1
Miss Fortune,Sejuani,Azir,Rakan,Naafiri,Jhin,Nocturne,Akali,Leona,Varus,Jayce,Bard,Renekton,Malphite,LeBlanc,Aphelios,Renata Glasc,Wukong,Rell,Vi,0
